Question,Answer
"What is the definition of ""financial institution"" under the UTI Act, 2002?","The definition of ""financial institution"" under the UTI Act, 2002 is as follows:

""(e) 'financial institution' shall have the meaning assigned to it in clause (h) of section 2 of the Recovery of Debts Due to Banks and Financial Institutions Act, 1993;
(h) 'specified company' means a company to be formed and registered under the Companies Act, 1956 (1 of 1956) and whose entire capital is subscribed by such financial institutions or banks as may be specified by the Central Government, by notification in the Official Gazette, for the purpose of transfer and vesting of the undertaking;
(i) 'specified undertaking' includes all business, assets, liabilities and properties of the Trust representing and relatable to the schemes and Development Reserve Fund specified in the Schedule I;
(l) 'undertaking' includes all business, assets, liabilities and properties of the Trust representing and relatable to the schemes and plans specified in the Schedule II.""

Therefore, under the UTI Act, 2002, a financial institution is"
"What is the Unit Trust of India Act, 1963?","The Unit Trust of India Act, 1963 is a legislation that established the Unit Trust of India, a financial institution in India. The Act defines the powers and functions of the Trust and provides for the transfer of the undertaking of the Trust to a specified company on the appointed day. The Act also provides for the vesting of the specified undertaking of the Trust in the Administrator and the General effect of vesting of undertaking or specified undertaking in specified company or Administrator. The Act also provides for the appointment of the Administrator to manage the specified undertaking of the Trust."
What is the relationship between the Administrator of a specified undertaking and the Specified Company?,"Based on the provided document, the Administrator of a specified undertaking and the Specified Company have the following relationship:

1. Vesting of management: The Act vests the management of the specified undertaking in the Administrator.
2. Powers of management and administration: The Administrator has wide powers of management and administration over the specified undertaking, including the power to invest, acquire, hold, or dispose of securities and to exercise and enforce all powers and rights incidental thereto.
3. Recovery of dues: The Administrator exercises the powers vested in him by law to recover dues owing to the specified undertaking.
4. Acting in own right: The Administrator acts in exercise of the powers vested in him by the Act and in the manner prescribed by the Act, rather than acting as an agent of the Central Government.
5. Jurisdiction of Debts Recovery Tribunal: The Debts Recovery Tribunal has jurisdiction to entertain claims made by the Administrator and the Specified Company for recovery of dues owing to them as ""financial institutions"".

In summary, the Administrator of a specified undertaking and the Spec"
"What is the nature of the power vested in the Administrator of a specified undertaking under the UTI Act, 2002?","The nature of the power vested in the Administrator of a specified undertaking under the UTI Act, 2002 is that of a statutory authority with wide powers and functions vested in him in relation to the specified undertaking. The Administrator exercises his own authority as Administrator and assumes powers which vest in him by law. The Administrator does not act as an agent of the Central Government or as a trustee. The power exercised by the Administrator is in the manner prescribed by the statute and the amounts sought to be recovered are allegedly owing to the specified undertaking and the Administrator, who are ""financial institutions"" within the meaning of the DRT Act, 1993. Therefore, the Specified Company and the Administrator of the Specified Company are not seeking to recover any dues owing to the Central Government, and they cannot be held to be acting on behalf of the Central Government."
Is the Central Government responsible for the management of the specified undertaking?,"No, the Central Government is not responsible for the management of the specified undertaking. According to the document provided, the specified undertaking vests in the Administrator, who is a statutory authority under the UTI Act, 2002. The Administrator has the power to manage and execute the schemes contained in Schedule I of the Act in accordance with the provisions of the Act. The Central Government does not have any role in the management of the specified undertaking."
Can the Debts Recovery Tribunal entertain claims of the Administrator of a specified undertaking as a financial institution?,"Yes, the Debts Recovery Tribunal can entertain claims of the Administrator of a specified undertaking as a financial institution. The Act vests the Administrator with the power to manage and administer the specified undertaking, including the power to recover dues owing to the specified undertaking. The Administrator acts in exercise of the powers vested in him by the Act and in his own right, rather than as an agent of the Central Government or as a trustee. Therefore, the Debts Recovery Tribunal has jurisdiction to entertain claims made by the Administrator as a financial institution."
Can the Administrator of a specified undertaking act as an agent of the Central Government?,"No information available in the provided document to suggest that the Administrator of a specified undertaking can act as an agent of the Central Government. The document highlights that the Administrator exercises the powers vested in him by law and in the manner prescribed by the statute, indicating that he acts in his own right and not as an agent of the Central Government."
Is the Specified Company a trustee of the specified undertaking?,"Based on the provided document, there is no information available to suggest that the Specified Company is a trustee of the specified undertaking. The document highlights that the specified undertaking vests in the Administrator, and the Administrator has the authority to invest, acquire, hold, or dispose of securities, and to exercise and enforce all powers and rights incidental thereto, including protection or realization of such investments. The document also mentions that the Specified Company is a company constituted as a statutory authority under the Act with wide powers and functions vested in him in relation to the specified undertaking, which also stand vested in him. However, there is no mention of the Specified Company acting as a trustee of the specified undertaking. Therefore, the answer to the query is <|NO|>The Specified Company is not a trustee of the specified undertaking."
Can the Administrator of a specified undertaking recover dues owing to the specified undertaking in exercise of the powers vested in him by law?,"Yes, the Administrator of a specified undertaking can recover dues owing to the specified undertaking in exercise of the powers vested in him by law. According to the provided document, the Administrator has the authority to invest, acquire, hold, or dispose of securities and to exercise and enforce all powers and rights incidental thereto, including protection or realization of such investment. This includes the power to recover dues owing to the specified undertaking."
"What is the nature of the vesting of the undertaking in the Specified Company under the UTI Act, 2002?","The nature of the vesting of the undertaking in the Specified Company under the UTI Act, 2002 is complete. The Act vests the specified undertaking in the Specified Company, and the Company exercises its authority in accordance with law. The Administrator of the Specified Company is constituted as a statutory authority under the Act with wide powers and functions related to the specified undertaking, which also stand vested in him. When he seeks to recover dues owing to the specified undertaking, he exercises his own authority as Administrator and assumes powers that vest in him by law."
